entity_id,state,last_changed
sensor.multisensor_raw_air_quality,320.0837,2025-09-12T03:27:01.464Z
sensor.multisensor_raw_air_quality,320.2949,2025-09-12T03:32:01.475Z
sensor.multisensor_raw_air_quality,320.0837,2025-09-12T03:37:01.470Z
sensor.multisensor_raw_air_quality,320.7163,2025-09-12T03:42:01.485Z
sensor.multisensor_raw_air_quality,321.3449,2025-09-12T03:47:01.475Z
sensor.multisensor_raw_air_quality,320.2949,2025-09-12T03:52:01.479Z
sensor.multisensor_raw_air_quality,320.0837,2025-09-12T03:57:01.482Z
sensor.multisensor_raw_air_quality,321.149,2025-09-12T04:07:01.484Z
sensor.multisensor_raw_air_quality,319.6602,2025-09-12T04:12:01.530Z
sensor.multisensor_raw_air_quality,321.2551,2025-09-12T04:17:01.486Z
sensor.multisensor_raw_air_quality,321.149,2025-09-12T04:22:01.502Z
sensor.multisensor_raw_air_quality,320.2939,2025-09-12T04:32:01.627Z
sensor.multisensor_raw_air_quality,320.8286,2025-09-12T04:37:01.508Z
sensor.multisensor_raw_air_quality,320.0786,2025-09-12T04:42:01.501Z
sensor.multisensor_raw_air_quality,319.5398,2025-09-12T04:47:01.523Z
sensor.multisensor_raw_air_quality,319.8633,2025-09-12T04:52:01.502Z
sensor.multisensor_raw_air_quality,320.0786,2025-09-12T04:57:01.531Z
sensor.multisensor_raw_air_quality,319.648,2025-09-12T05:07:01.518Z
sensor.multisensor_raw_air_quality,319.2143,2025-09-12T05:12:01.511Z
sensor.multisensor_raw_air_quality,318.6704,2025-09-12T05:17:01.540Z
sensor.multisensor_raw_air_quality,319.3235,2025-09-12T05:22:01.518Z
sensor.multisensor_raw_air_quality,319.2143,2025-09-12T05:27:01.543Z
sensor.multisensor_raw_air_quality,318.1235,2025-09-12T05:32:01.521Z
sensor.multisensor_raw_air_quality,317.903,2025-09-12T05:37:01.538Z
sensor.multisensor_raw_air_quality,318.6704,2025-09-12T05:42:01.527Z
sensor.multisensor_raw_air_quality,317.5724,2025-09-12T05:47:01.541Z
sensor.multisensor_raw_air_quality,318.5612,2025-09-12T05:52:01.543Z
sensor.multisensor_raw_air_quality,317.7929,2025-09-12T05:57:01.529Z
sensor.multisensor_raw_air_quality,318.4521,2025-09-12T06:02:01.544Z
